agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
1007000 26464.88586007907 26196.88595447622 26430.27474242762 26613.73264185484 26507.282209563153 26399.89147457903
1108000 26754.044900318193 26419.56923051223 26102.070448661587 26586.606614439403 26558.605480712096 26307.004686563236
1107000 26351.8613161387 26187.37113119625 26204.779063192174 26457.570606627032 26181.57005924402 26146.934871642723
0710000 27451.520864969174 27308.421645351835 27708.208718584083 27348.270760318053 27423.166703141527 27284.950344869445
0706000 28426.948384734373 28094.739519758037 28664.411428588526 28103.73360797724 28408.66863341585 28417.255061360807
0707000 28099.396450676737 27860.101941757628 28520.714023690074 27833.720999155725 28152.94816533286 28174.32025152674
0703000 28086.26767517854 27971.204219058123 27659.956720988706 28265.299840277636 28023.18162937567 28135.972107485628
1104000 27633.131909714153 27304.598699516737 27386.842364595126 27501.15105144649 27337.56717431635 27466.225632295897
0802000 27645.535974345632 27777.46087571897 27338.277835698114 28091.107513727246 27521.326793994747 27521.953104097833
0702000 27625.25523676065 27680.48036817603 27353.349435269247 27918.251018896084 27631.797800968736 27702.534069715242
0202000 30211.019968581997 30307.240685153207 30789.524927638675 30404.502658782134 30303.04148879098 30443.708032080274
0201000 30419.55323132261 30915.03866636775 30643.948319825216 30489.930054676668 30522.88007968604 30630.319475015338
0302000 30530.81570750472 30511.007285023286 30598.34426477714 30336.497582166707 30396.704249122584 30331.45874638422
0402000 30335.620634777933 30061.65664362768 30836.556574344846 30498.304671045396 30536.32915077976 30571.104416369413
0502000 30529.066249866246 30124.469938954775 30367.63749731326 30210.50550518246 30225.22206766034 30295.770887578146
0401000 30649.10725659644 30476.714761731095 30795.636754710675 30443.93955721041 31134.739719129117 30881.14317297137
0401100 30745.916842339317 30618.355940404555 30743.194470193837 31236.93647042469 30835.747060875452 30983.820645445463
0501100 30876.80768626192 30560.464009132877 30600.589961811624 30730.69312836635 30490.753122143928 30643.342851174923
0502100 31085.94542521179 30732.565355339142 30672.960214871637 30704.491604062358 30723.919614146624 30781.309923679433
0402100 31311.82456081902 30715.583118543855 30917.201900954737 31043.920903125018 31061.475475277883 31100.409717045884
0302100 31428.519487149708 30724.657995524238 30798.573548904667 31155.588672844755 31088.562698430567 31156.405886876062
0301100 30927.451572668695 31009.585349872887 30752.71484137888 31158.58107998775 30621.49841360261 30835.205998328856
0107100 31129.537034006968 31417.6879889885 31364.546987162088 30793.521858250326 31107.549465299802 31078.63439711369
0801000 27427.147248838275 27211.01875355781 27313.38774018853 27602.121702539825 27312.41864994537 27262.455176564472
0701000 27349.636256826416 27314.047234755093 27362.76585496612 27646.77004918073 27291.562387045655 27316.27115050866
0102000 30070.443884929617 30430.39371219606 30365.790479679355 30050.543559813246 30216.874788242767 30245.77192087409
0301000 30581.265597734036 31029.497118551426 30801.781428504266 30384.09933481358 30549.333931756995 30732.99546611522
0501000 30804.101090209242 30545.509941133198 30410.868407563128 30086.478017810845 30484.59865797649 30518.200984855666
0101000 30243.363293330967 30601.879513900887 30284.024960855197 30246.23813488106 30325.49390013896 30134.23808799683
0504010 30108.774381048308 30289.37680815454 30179.87804163223 30309.10757037658 30205.709221187913 30197.316024652187
0404010 30081.94243262735 30185.39981168805 30078.546299605467 30189.086759318063 30082.119656882456 30081.758090778603
0405010 30177.326379328253 30333.857018479903 30059.468690003217 30112.684911145654 30218.353452131392 30217.43083527759
0505010 30199.63605525639 30416.92053587084 30187.822647955436 30206.291167119754 30312.232685523984 30309.600827642418
0604010 30192.941155468914 30386.063821677042 30264.5243476662 30378.044167411404 30275.959643698417 30265.136499270375
0704010 30284.843725462277 30312.51228967792 30178.010777581116 30522.99654304881 30371.99618159362 30352.978824985334
0605010 30276.2598250765 30530.15020092942 30239.244058076183 30421.03540865716 30443.987823587755 30394.583535267553
0705010 30397.300856013404 30435.584965252925 30369.392942408675 30696.35661122125 30572.77866676966 30522.428436034792
0805010 30539.09835273224 30249.929130153385 30247.937618719043 30541.404906321743 30372.628421220892 30445.959784766823
0806010 30665.036728505293 30567.989748213167 30359.28560386915 30638.98987938089 30534.41208525941 30502.870005992372
0706010 30654.771453734225 30566.096158941524 30579.025353284866 30823.374206981418 30687.01200922645 30646.12384206446
0707010 30791.018586661634 30648.466633128286 30679.17818485173 30926.91281848274 30823.948279190547 30778.937975600034
0807010 30793.332751958405 30577.292073664008 30559.97723918596 30716.43057296542 30655.233654611035 30643.81001355026
0804010 30341.502207729667 30160.056461641092 30165.025443099075 30410.23225628759 30307.818199597285 30316.820119530734
0803010 30269.99397914897 30165.868173014107 30050.459113647783 30287.06690510241 30150.256046258542 30184.51206237077
0703010 30256.369034513125 30117.1789571159 30109.43724363429 30371.147623280038 30240.119989347666 30247.08913646401
0708010 30930.848248912418 30743.848206092167 30792.938546717218 31030.76688059734 30897.75785679928 30804.303116817173
0709010 31144.983913848835 30856.697764854373 30899.782743695403 30859.495616838543 31006.928766502384 30982.85119689477
0609010 31263.342531938444 31011.701529951533 31102.85338508641 31099.45307502798 31101.133204155492 31152.24825146043
0509010 31317.45653710439 31111.848892800026 31232.53377246855 31347.508175387415 31240.31849310306 31238.257681362105
0710010 30859.55857694997 30771.070001617783 30995.79190227858 30816.29578017708 30838.2605879224 30775.592223152882
0808010 30915.44545415148 30789.42276111671 30648.166840503614 30889.44840470623 30755.586686484745 30767.062250490497
0809010 31010.06191017512 30762.35995456416 30768.467581778477 30730.2090953175 30863.991995269593 30869.09734216747
0909010 30856.50175830457 30550.061151276645 30749.518542211965 30642.403753976585 30722.92881761137 30741.424148883903
0910010 30727.483738131617 30532.613459355154 30757.14941395804 30620.827408674504 30618.708009257687 30600.232252327263
0810010 30824.714239897236 30646.22349309366 30891.832106208003 30776.190046744585 30754.094773563047 30667.408677711966
0510010 31464.426676277635 31354.66713762162 31209.38423042593 31338.69062904032 31348.36059365658 31355.64925270963
0410010 31431.541764075155 31376.64959745578 31336.65049405287 31440.285140019532 31564.224275963792 31435.02095367461
0409010 31341.7733612374 31243.767944000916 31309.441903989195 31437.055328310205 31289.23629031916 31323.113708997796
0410011 31698.456330769666 99.99999999999994 99.99999999999994 31660.62554015036 31706.44927907586 31681.059487727107
1101110 33441.01530300818 33142.73774303697 33096.95559329376 32932.120589941536 33074.75467086394 33048.22950677656
1001110 33194.022237739046 33051.92055738054 33199.16537597129 33537.23562395431 33207.311776431714 33141.59954516536
1002110 33638.58529782303 32999.33364474248 33294.780279638326 33324.56866923117 33287.95245462616 33389.702629881955
0902110 33748.88367793573 33393.310715104846 33469.70203109892 33447.58230852408 33366.53323041543 33465.80962124399
0802110 33840.04968981729 33454.91342475805 33283.456898663215 33259.45003958791 33462.62678375646 33439.540561253176
0803110 33672.78166090997 33469.24740700805 33415.693712125874 33400.83921288646 33329.91919815666 33372.97597698269
0801110 33330.98852994167 33346.107459744286 33297.398052220204 33575.98507241224 33254.93818220086 33178.708461119655
0703110 33788.12417400466 33354.52788837683 33725.278122030555 34034.66964152077 33721.67706927552 33731.3719040862
0704110 33566.58441146779 33364.27261703611 33780.515501443355 34150.08643117682 33896.54255497109 33975.814114614564
0804110 33791.57664354756 33138.197272004094 33282.51182102955 33674.83733020708 33366.813731761744 33437.968684239146
0702110 33634.73948308117 33587.34424106915 33350.54827970159 33934.299751524566 33581.417550268336 33365.959833597626
1102110 33314.398938326245 33061.98732491367 33062.543946312595 32988.23018344298 33012.24205090081 32944.20638290216
0701110 33327.6916010772 33341.75050897262 33320.271755543145 33624.99466051868 33395.45488580868 33321.797945091086
0805110 33834.60172065052 33389.36880891855 33466.623610139395 33673.57814666589 33622.1705979862 33602.19317766068
0705110 33743.52879467142 33659.56330925601 33807.494827134295 34239.93510574267 33959.17980345381 33948.62975975489
0605110 33366.35126022049 33962.94678671777 33549.15788703681 33558.43754388025 33644.44997956007 33652.305228174504
0604110 33273.88313688554 33896.12899392358 33445.44558256148 33571.39756996991 33627.81817726011 33605.720351769385
0504110 32715.586193830815 33552.23635693998 33084.6262743672 33398.971214051955 33133.04853387313 33268.65457939083
0505110 33057.52320680681 33600.58598352374 33047.243211027315 33169.92247984014 33300.63125016314 33346.83967007261
0904110 33352.088133602505 32869.25131757098 33127.94789588425 33358.85013441282 33088.63193759731 33202.898592993864
0806110 34030.609139537955 33570.17781125886 33652.99447299958 33865.16508849816 33601.66826246945 33705.08335543789
0706110 33945.97037038319 33664.58231717775 33777.01282774558 34340.78731639821 34057.4540272564 33942.41862249882
0404110 32802.1612299593 33123.2834039894 32780.68157424341 33129.336667952564 32808.9099083535 32719.860963093954
0405110 33024.654924859286 33397.46509875036 32706.725640334524 32822.57561409138 33044.05545369984 33193.31781022487
0406110 32385.878439895674 33078.41851920532 33217.459431522744 32529.322478668284 32910.063419929305 32839.146377366524
0407110 32059.295395452256 32916.40673073988 32575.8934964735 32492.592483722085 32503.781363808906 32567.978908007313
0306110 32055.117578552028 32895.92588534791 32637.344140173678 32160.605492617873 32515.620932595848 32545.12607075516
0307110 31696.200219255436 32552.225395232323 32518.872921929506 32238.32545115779 31990.082696754926 32248.97617798278
0207110 31522.256861978232 32047.284948339962 32023.628691762013 31499.20699547104 31750.816777104264 31715.459907191027
0208110 31146.34832896943 31602.717965237433 31807.797363587008 31079.39747806344 31466.295625163566 31464.705315524123
0108110 31326.5013653444 31420.106375803414 31516.435180502674 30936.223683250784 31262.00673439964 31236.28036770112
0107110 31333.660367657154 31718.46586169013 31684.528360552624 31090.830690592105 31533.745335794283 31577.227757387634
0206110 31811.14222430781 32393.201647503443 31746.539723105347 31719.71778760784 32140.797360462344 32016.582710450788
0205110 31515.730045953733 31860.373235262563 31407.910126827886 32082.366505462414 31662.17943085204 31724.623547653853
0204110 31150.62418626997 31393.99998514057 31091.643479384533 31767.56989346034 31517.073818927653 31423.798478454635
0104110 31174.53816319068 31333.66351148869 30873.80801289232 31396.904964662026 31048.31335171575 30995.065582767424
0105110 31544.618385449176 31734.486827613193 31154.828930168464 31737.509601715137 31251.419952795633 31435.096493866127
0203110 30881.174103835525 31009.228353258735 30563.562291725262 31398.529033501352 31038.938905161154 30962.87843481034
0209110 30866.877791640167 31129.952892828813 31418.80054524131 30715.738082673204 31100.941731662166 31156.37117171521
0109110 30798.42776742686 31132.47239187862 31235.078307620985 30321.37425717354 30918.250716783372 30787.784108379725
0110110 30560.451391431277 30813.821949986006 30964.644096176846 30471.698778638747 30485.31317302666 30522.133627370564
0210110 30477.654236378992 30799.317597255045 31202.883010640504 30727.892082363345 30800.065129273997 30757.15257470399
0506110 32872.74073992096 33160.220586151496 33325.40222575101 32877.19564302874 33140.391612719155 32976.60922645176
0507110 32473.519816882297 32895.85994915537 33094.26176293782 32908.56746616744 32747.03730218413 32920.71853129193
0106110 31617.182276668085 32091.718626504047 31491.09527226127 31498.88514848213 31784.589177093756 31799.12522629804
0103110 30863.6094645448 30854.02497556076 30464.804329983646 31114.08592258464 30797.80243860581 30801.39820849418
0202110 30461.582927611904 30337.24814231188 30330.543894412815 31126.7689644154 30617.869567704718 30789.900136469234
0201110 30189.24358494397 30049.81908860095 30390.27909791965 30651.60421090885 30394.853826411294 30315.475385974874
0101110 30161.958071243746 30451.079432798117 30120.091929193433 30402.20627423925 30146.520018704075 30024.417546476594
0102110 30454.35539023546 30685.73415033752 30151.269766984733 30603.362793757693 30408.334124531513 30449.92971742111
0905110 33700.781969187614 32990.97481586859 33138.29622124648 33420.03458968093 33355.35222981124 33419.006152635244
0108010 29590.646452300156 29706.588053402513 29592.809846827793 29404.23844970167 29598.960294228913 29587.476250719847
0107010 29651.8519850095 29814.335571683743 29790.015513102117 29573.542660540144 29641.96691143495 29703.851037500222
0207010 29668.355464002125 29949.3504087904 29928.23125617178 29650.247153590986 29790.174322054627 29781.19884363687
0208010 29519.985256830307 29665.656424183355 29804.04492314257 29552.364561841052 29710.36547849236 29714.198341507978
0209010 29455.509679774033 29524.178670374058 29665.448925395205 29400.019250672824 29516.392061269962 29518.587389185916
0210010 29321.68863664044 29415.65721227022 29506.72446115596 29379.160982472196 29345.839640877533 29377.373983322424
0110010 29304.166226963556 29394.515180093673 29437.636714690176 29263.196701866833 29291.74620377668 29322.845226920177
0109010 29453.698282967634 29551.265678527834 29597.686153732117 29292.83340360267 29463.631713739334 29447.752060766757
0307010 29721.967159026797 30049.652042046975 29992.99002928238 29919.404950881086 29915.69913258422 29912.352827281928
0306010 29876.18963061385 30101.600736102486 30001.654162912553 29922.029293526008 30011.744915126415 29983.106698381875
0407010 29955.66005110665 30070.876404915725 30131.229850817985 30011.244734056378 30029.96647185186 30044.698029341784
0507010 30040.908792626484 30043.86890131766 30182.16648130531 30070.102361318903 30060.42178982873 30038.978537134088
0506010 30110.614991568502 30152.952061943648 30309.03207609175 30075.169347348634 30182.983517385463 30170.28388655028
0406010 30000.47411324824 30185.675752091633 30207.975701884865 29985.76924880566 30112.860452036675 30073.456963493496
0905010 30395.27128539169 30189.567911113314 30158.330303418566 30286.026862133538 30314.475303646068 30260.581424104777
1005010 30287.565871323233 30044.06181852213 30048.550954137554 30142.658498863384 30140.19266932916 30184.427885879046
1004010 30186.027888463846 29967.337582996533 30041.988911761713 30158.347471142846 30067.24448383563 30040.931206695626
1104010 30012.903328352706 29956.239346614937 29966.859078393925 30043.357225643027 29932.691604296902 29943.473564708158
0904010 30281.299785228533 30064.57382653807 30133.80720456764 30300.031086939765 30155.729677258627 30164.241609180903
0802010 30130.34974569858 30012.134495551443 29873.92714820687 30188.186990568734 30000.874062432245 30031.018398877484
0702010 30092.18588245241 30036.74491304966 29965.091926482462 30221.159890070317 30101.355680416527 30104.30464519759
1105010 30202.561094650377 30043.687177924006 29953.42473294322 30101.670118897277 30069.810373758603 30097.754803958465
1009010 30727.209003880427 30472.450308482523 30424.849425044446 30473.529174363834 30578.739692335228 30534.981801431706
1008010 30451.194184512628 30384.374349006244 30312.74245142162 30586.137063473067 30438.967917555277 30446.652730536833
1007010 30308.752094682804 30144.41785041036 30299.687795412072 30443.3079417983 30311.159433239118 30323.498761045856
1107010 30259.461819502336 30163.479951097048 30159.81277894045 30307.245363112128 30203.678258041517 30167.435845487013
1108010 30476.647450236327 30367.86084372201 30202.676763635594 30454.4547294067 30345.83115386191 30352.411940915485
1109010 30607.218279524073 30467.755740994846 30365.54510845027 30351.290178105213 30425.156692495853 30437.74011998697
1110010 30515.739171226895 30346.789835148156 30396.089769607006 30359.270225882025 30293.890152430904 30306.87960406588
0510011 0 0 0 0 0 0
0106010 29762.169079380463 29894.214653714316 29587.162676171087 29677.732260681565 29805.62253994069 29717.968603784277
0206010 29790.9593807579 30011.169940152762 29765.911915142075 29826.173056585452 29888.4446499909 29892.588949352765
